source,category,title,url,picture
BBC,business,4 days agoM&S supplier resorts to pen and paper after cyber attackWhat's going on behind the scenes in the aftermath of the cyber attack on M&S.4 days agoBusiness,https://www.bbc.com/news/articles/cvgnyplvdv8o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"4 days agoCo-op cyber attack affects customer data, firm admits, after hackers contact BBCThe firm previously said there was ""no evidence that customer data was compromised"".4 days agoTechnology",https://www.bbc.com/news/articles/crkx3vy54nzo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,Do not share or sell my info,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/,
BBC,business,Read about our approach to external linking.,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links,
BBC,politics,No 10 resists Labour calls for winter fuel rethinkCalls to abandon cuts to the pensions top-up have grown in the wake of local election losses last week.1 hr agoPolitics,https://www.bbc.com/news/articles/cy0xee5krnno,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,Labour MPs' rage over election results simmers onAnger over the party's drubbing in last week's local elections has not dissipated over the weekend.45 mins agoPolitics,https://www.bbc.com/news/articles/ckg1rgr25e7o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,Ex-Runcorn MP blames Labour mistakes for election lossesMike Amesbury says Reform UK benefitted from government mistakes over welfare cuts.4 hrs agoPolitics,https://www.bbc.com/news/articles/c87p99jzrxjo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,"Wales' Labour first minister says she will 'call out' StarmerEluned Morgan says she will ""not stay silent"" if the UK government takes decisions ""we think will harm"" Wales.2 hrs agoWales",https://www.bbc.com/news/articles/cy9v7gn9729o,
BBC,politics,"LIVESwinney pledges 100,000 extra appointments to tackle GP surgery '8am lottery'First Minister John Swinney says the NHS is ""at the heart"" of his government's legislative plans for the coming year.",https://www.bbc.com/news/live/cx25r29592qt,
BBC,politics,Labour MPs' rage over election results simmers onAnger over the party's drubbing in last week's local elections has not dissipated over the weekend.45 mins agoPolitics,https://www.bbc.com/news/articles/ckg1rgr25e7o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,UK and India agree trade deal after three years of talksThe deal will give better access for UK whisky and cars to the Indian market.Just nowBusiness,https://www.bbc.com/news/articles/c5y6y90e5vzo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,"Visa applications for some nationalities could be restrictedPeople from Pakistan, Nigeria and Sri Lanka may find it more difficult to come to the UK, under new plans.5 hrs agoPolitics",https://www.bbc.com/news/articles/cn0wd75ne82o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,Ex-Runcorn MP blames Labour mistakes for election lossesMike Amesbury says Reform UK benefitted from government mistakes over welfare cuts.4 hrs agoPolitics,https://www.bbc.com/news/articles/c87p99jzrxjo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,Trump film tariffs to be part of UK-US trade talksIt comes as moviemakers worry the UK's thriving film industry could be hit by the new tariff threat.20 hrs agoCulture,https://www.bbc.com/news/articles/cz01kx3yrmvo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,politics,Trans life could become 'unliveable' - SturgeonThe former first minister has spoken for the first time about the Supreme Court's judgement on the definition of a woman.3 hrs agoScotland Politics,https://www.bbc.com/news/articles/cvgn2gyx9vdo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
